,Report_No,Reported_Date,IBRS,Race,Sex,Age
69868,KC19088510,11/19/2019,13A,B,F,47.0
69869,KC19091396,12/01/2019,23C,,,
69870,KC19097491,12/24/2019,,W,M,35.0
69871,KC19089102,11/21/2019,,B,M,34.0
69872,KC19091445,12/01/2019,23H,,,
69873,KC19089867,11/24/2019,11A,W,F,24.0
69874,KC19089981,11/25/2019,90Z,B,F,94.0
69875,KC19091669,12/02/2019,90Z,B,F,55.0
69876,KC19090174,11/25/2019,240,B,M,49.0
69877,KC19097383,12/24/2019,23F,W,M,41.0
69878,KC19090032,11/25/2019,13B,B,F,
69879,KC19091412,12/01/2019,,B,M,21.0
69880,KC19098158,12/27/2019,,B,M,25.0
69881,KC19089146,11/21/2019,23F,U,M,27.0
69882,KC19096757,12/21/2019,90Z,W,M,45.0
69883,KC19090263,11/26/2019,90Z,B,F,42.0
69884,KC19088152,11/18/2019,,B,F,46.0
69885,KC19092776,12/06/2019,23D,W,M,27.0
69886,KC19089253,11/21/2019,120,W,F,20.0
69887,KC19096376,12/20/2019,240,W,M,25.0
69888,KC19096760,12/21/2019,220,W,F,24.0
69889,KC19089765,11/24/2019,120,,,
69890,KC19093889,12/10/2019,23G,U,M,37.0
69891,KC19089452,11/22/2019,23H,,,
69892,KC19090923,11/28/2019,,B,M,48.0
69893,KC19091517,12/01/2019,,,,
69894,KC19090152,11/25/2019,23F,W,F,20.0
69895,KC19095620,12/17/2019,90Z,W,M,39.0
69896,KC19092708,12/06/2019,23F,W,F,31.0
69897,KC19092422,12/04/2019,90Z,B,F,21.0
69898,KC19089380,11/22/2019,250,,,
69899,KC19088998,11/20/2019,13A,B,F,27.0
69900,KC19096884,12/22/2019,290,W,M,35.0
69901,KC19093915,12/10/2019,13B,W,M,45.0
69902,KC19091112,11/29/2019,90D,W,F,40.0
69903,KC19098884,12/31/2019,240,W,M,27.0
69904,KC19097028,12/22/2019,,,,
69905,KC19092543,12/05/2019,90J,W,M,26.0
69906,KC19090784,11/28/2019,13A,B,M,31.0
69907,KC19097082,12/23/2019,240,W,M,65.0
69908,KC19094656,12/13/2019,,W,F,26.0
69909,KC19092350,12/04/2019,90J,W,F,65.0
69910,KC19098529,12/29/2019,90Z,W,M,37.0
69911,KC19093552,12/09/2019,23C,,,
69912,KC19096432,12/20/2019,,W,M,52.0
69913,KC19094632,12/13/2019,23C,,,
69914,KC19091155,11/29/2019,13A,W,F,
69915,KC19088491,11/19/2019,23H,W,M,30.0
69916,KC19089097,11/21/2019,240,B,M,43.0
69917,KC19097579,12/25/2019,,W,M,48.0
69918,KC19098024,12/27/2019,23D,W,F,53.0
69919,KC19088245,11/18/2019,,B,M,34.0
69920,KC19095296,12/16/2019,,B,F,57.0
69921,KC19090397,11/26/2019,23F,W,M,34.0
69922,KC19098976,12/31/2019,,W,M,19.0
69923,KC19088502,11/19/2019,90C,W,M,32.0
69924,KC19091046,11/29/2019,23F,W,F,68.0
69925,KC19097244,12/23/2019,90Z,B,F,28.0
69926,KC19093673,12/09/2019,120,B,M,
69927,KC19088612,11/19/2019,23H,W,M,40.0
69928,KC19097808,12/26/2019,220,,,
69929,KC19095761,12/17/2019,,,,
69930,KC19096232,12/19/2019,240,W,M,57.0
69931,KC19096823,12/21/2019,13B,W,M,42.0
69932,KC19088680,11/19/2019,290,B,M,
69933,KC19089806,11/24/2019,240,B,M,25.0
69934,KC19092655,12/05/2019,,W,M,48.0
69935,KC19090045,11/25/2019,23F,W,F,31.0
69936,KC19095290,12/16/2019,13A,B,M,
69937,KC19094120,12/11/2019,23F,U,U,
69938,KC19094957,12/14/2019,,U,M,
69939,KC19092464,12/05/2019,,B,M,38.0
69940,KC19089958,11/24/2019,,W,M,49.0
69941,KC19087797,11/16/2019,,U,M,23.0
69942,KC19091102,11/29/2019,,B,M,26.0
69943,KC19097205,12/23/2019,,W,M,47.0
69944,KC19097251,12/23/2019,,B,M,29.0
69945,KC19090080,11/25/2019,,W,F,37.0
69946,KC19092328,12/04/2019,90J,,,
69947,KC19089654,11/23/2019,23F,W,M,45.0
69948,KC19096045,12/18/2019,120,B,M,25.0
69949,KC19089781,11/24/2019,120,,M,31.0
69950,KC19088778,11/20/2019,220,W,M,48.0
69951,KC19098819,12/31/2019,90F,B,M,41.0
69952,KC19097454,12/24/2019,290,B,M,58.0
69953,KC19089278,11/21/2019,120,B,M,34.0
69954,KC19089089,11/21/2019,13A,B,F,24.0
69955,KC19094100,12/11/2019,13A,B,M,
69956,KC19097404,12/24/2019,23F,B,F,25.0
69957,KC19088355,11/18/2019,240,W,F,22.0
69958,KC19097774,12/26/2019,26E,W,M,49.0
69959,KC19098684,12/30/2019,23H,W,F,25.0
69960,KC19097415,12/24/2019,,W,M,30.0
69961,KC19090634,11/27/2019,90Z,B,M,22.0
69962,KC19088400,11/18/2019,90J,,,
69963,KC19088668,11/19/2019,220,U,U,
69964,KC19092106,12/03/2019,,B,M,34.0
69965,KC19088329,11/18/2019,,W,M,33.0
69966,KC19093780,12/10/2019,290,B,F,55.0
69967,KC19091839,12/02/2019,,W,M,25.0
69968,KC19088187,11/18/2019,240,B,M,53.0
69969,KC19093588,12/09/2019,23F,W,M,18.0
69970,KC19095865,12/18/2019,,W,M,27.0
69971,KC19093027,12/07/2019,23F,W,F,44.0
69972,KC19097008,12/22/2019,120,W,F,62.0
69973,KC19093160,12/07/2019,13B,W,M,64.0
69974,KC19088530,11/19/2019,,W,M,31.0
69975,KC19094561,12/13/2019,,B,M,29.0
69976,KC19096505,12/20/2019,23H,W,M,35.0
69977,KC19093536,12/09/2019,,W,M,43.0
69978,KC19095952,12/18/2019,26E,U,,
69979,KC19089964,11/25/2019,,W,M,34.0
69980,KC19091181,11/30/2019,23D,B,M,55.0
69981,KC19096497,12/20/2019,,B,F,35.0
69982,KC19093587,12/09/2019,13A,W,M,
69983,KC19094410,12/12/2019,23H,W,F,50.0
69984,KC19089796,11/24/2019,120,B,F,19.0
69985,KC19097231,12/23/2019,220,W,M,59.0
69986,KC19093049,12/07/2019,26F,B,F,39.0
69987,KC19091077,11/29/2019,26F,W,F,53.0
69988,KC19095611,12/17/2019,220,W,M,32.0
69989,KC19090110,11/25/2019,,W,M,27.0
69990,KC19098920,12/31/2019,13A,W,F,
69991,KC19088268,11/18/2019,23H,B,M,36.0
69992,KC19093099,12/07/2019,290,W,F,23.0
69993,KC19095829,12/18/2019,200,W,F,53.0
69994,KC19095485,12/16/2019,23H,B,F,21.0
69995,KC19088738,11/20/2019,240,W,M,40.0
69996,KC19091379,11/30/2019,13C,B,M,33.0
69997,KC19089926,11/24/2019,13A,B,F,30.0
69998,KC19095266,12/16/2019,240,W,M,32.0
69999,KC19090190,11/25/2019,35A,B,F,48.0
70000,KC19093770,12/10/2019,,W,M,
70001,KC19097855,12/26/2019,240,W,F,65.0
70002,KC19091335,11/30/2019,90J,W,M,32.0
70003,KC19093996,12/11/2019,90Z,B,F,52.0
70004,KC19094307,12/12/2019,23F,W,M,27.0
70005,KC19089644,11/23/2019,13B,B,F,47.0
70006,KC19097557,12/25/2019,13C,B,M,37.0
70007,KC19093702,12/09/2019,90F,B,M,
70008,KC19088454,11/19/2019,23F,W,F,23.0
70009,KC19094424,12/12/2019,120,B,M,
70010,KC19088221,11/18/2019,90F,B,M,28.0
70011,KC19095730,12/17/2019,290,,,
70012,KC19094059,12/11/2019,,B,M,51.0
70013,KC19088488,11/19/2019,280,W,F,26.0
70014,KC19088394,11/18/2019,280,W,M,48.0
70015,KC19096695,12/21/2019,,W,M,43.0
70016,KC19089909,11/24/2019,220,W,M,22.0
70017,KC19088916,11/20/2019,23G,B,M,63.0
70018,KC19089959,11/25/2019,13B,B,F,21.0
70019,KC19091218,11/30/2019,23G,W,M,25.0
70020,KC19096029,12/18/2019,280,B,F,39.0
70021,KC19098639,12/30/2019,220,,,
70022,KC19091765,12/02/2019,,W,F,21.0
70023,KC19097122,12/23/2019,120,W,F,36.0
70024,KC19092424,12/04/2019,,W,M,51.0
70025,KC19096187,12/19/2019,23H,B,M,50.0
70026,KC19095428,12/16/2019,23F,B,M,36.0
70027,KC19094867,12/14/2019,240,W,M,24.0
70028,KC19092339,12/04/2019,,W,M,39.0
70029,KC19088746,11/20/2019,240,W,M,23.0
70030,KC19088970,11/20/2019,90J,W,M,69.0
70031,KC19093487,12/09/2019,,B,M,
70032,KC19095325,12/16/2019,240,W,M,53.0
70033,KC19089668,11/23/2019,13C,B,M,41.0
70034,KC19093713,12/10/2019,23F,W,M,30.0
70035,KC19098372,12/29/2019,13A,B,M,28.0
70036,KC19088680,11/19/2019,13A,B,M,
70037,KC19091738,12/02/2019,120,B,M,29.0
70038,KC19093216,12/08/2019,,W,F,27.0
70039,KC19091811,12/02/2019,,B,F,29.0
70040,KC19097904,12/27/2019,,W,M,28.0
70041,KC19096473,12/20/2019,250,U,U,21.0
70042,KC19087761,11/16/2019,13A,W,M,22.0
70043,KC19087724,11/16/2019,90Z,B,F,29.0
70044,KC19088571,11/19/2019,23C,B,M,
70045,KC19098708,12/30/2019,26F,W,M,68.0
70046,KC19097524,12/24/2019,09A,W,M,23.0
70047,KC19093807,12/10/2019,90C,W,M,41.0
70048,KC19098652,12/30/2019,23H,W,M,85.0
70049,KC19088296,11/18/2019,90J,,,
70050,KC19087819,11/16/2019,90C,W,M,34.0
70051,KC19096600,12/20/2019,240,W,F,19.0
70052,KC19092287,12/04/2019,,U,F,
70053,KC19094247,12/12/2019,13A,B,F,26.0
70054,KC19092999,12/07/2019,200,W,F,43.0
70055,KC19093981,12/11/2019,13A,W,F,40.0
70056,KC19092956,12/06/2019,13A,W,M,
70057,KC19097642,12/25/2019,280,W,M,49.0
70058,KC19091993,12/03/2019,290,W,F,62.0
70059,KC19088956,11/20/2019,90J,B,M,26.0
70060,KC19092411,12/04/2019,,W,F,30.0
70061,KC19094767,12/13/2019,13B,U,M,
70062,KC19098530,12/29/2019,290,B,F,33.0
70063,KC19095852,12/18/2019,,B,M,39.0
70064,KC19092464,12/05/2019,,U,M,
70065,KC19088623,11/19/2019,90Z,B,F,19.0
70066,KC19087433,11/14/2019,90Z,B,F,39.0
70067,KC19095489,12/16/2019,,W,M,31.0
70068,KC19092787,12/06/2019,120,,,
70069,KC19095618,12/17/2019,250,B,M,30.0
70070,KC19089023,11/21/2019,13C,W,M,35.0
70071,KC19089530,11/22/2019,,W,F,42.0
70072,KC19087448,11/14/2019,,W,M,49.0
70073,KC19096357,12/19/2019,23D,,,
70074,KC19088662,11/19/2019,,B,M,59.0
70075,KC19088032,11/17/2019,,B,F,
70076,KC19089542,11/22/2019,220,B,F,30.0
70077,KC19087588,11/15/2019,,B,M,
70078,KC19092699,12/06/2019,,B,M,38.0
70079,KC19096305,12/19/2019,23H,B,M,
70080,KC19096741,12/21/2019,13B,W,F,38.0
70081,KC19098909,12/31/2019,23H,W,F,75.0
70082,KC19090385,11/26/2019,13B,W,M,54.0
70083,KC19092910,12/06/2019,,B,F,42.0
70084,KC19088899,11/20/2019,23C,,,
70085,KC19091592,12/02/2019,23F,W,F,27.0
70086,KC19089131,11/21/2019,210,W,F,33.0
70087,KC19088265,11/18/2019,270,,,
70088,KC19094698,12/13/2019,13A,B,M,32.0
70089,KC19093234,12/08/2019,13B,W,F,20.0
70090,KC19087988,11/17/2019,23H,W,M,38.0
70091,KC19089012,11/21/2019,120,B,M,
70092,KC19095437,12/16/2019,13B,W,M,66.0
70093,KC19098517,12/29/2019,240,W,M,24.0
70094,KC19097314,12/24/2019,90J,B,M,40.0
70095,KC19098903,12/31/2019,250,W,F,46.0
70096,KC19096570,12/20/2019,23C,B,F,61.0
70097,KC19087858,11/16/2019,,W,M,54.0
70098,KC19094495,12/13/2019,13B,B,F,31.0
70099,KC19095274,12/16/2019,290,W,M,40.0
70100,KC19093146,12/07/2019,90J,W,M,43.0
70101,KC19088882,11/20/2019,23H,W,M,32.0
70102,KC19098112,12/27/2019,290,B,M,45.0
70103,KC19098341,12/28/2019,,W,F,25.0
70104,KC19090970,11/29/2019,,,,
70105,KC19096917,12/22/2019,26F,W,F,32.0
70106,KC19087756,11/16/2019,240,B,M,39.0
70107,KC19087479,11/15/2019,23F,W,M,23.0
70108,KC19096325,12/19/2019,290,W,M,43.0
70109,KC19091108,11/29/2019,13A,B,F,45.0
70110,KC19094013,12/11/2019,290,W,M,
70111,KC19098289,12/28/2019,13B,W,M,56.0
70112,KC19090332,11/26/2019,220,,,
70113,KC19091703,12/02/2019,13A,B,M,
70114,KC19091439,12/01/2019,,W,F,46.0
70115,KC19096445,12/20/2019,23H,,,
70116,KC19092809,12/06/2019,,U,F,
70117,KC19096615,12/21/2019,23C,,,
70118,KC19098099,12/27/2019,90Z,B,M,24.0
70119,KC19091900,12/03/2019,100,W,F,
70120,KC19091345,11/30/2019,,B,F,30.0
70121,KC19091476,12/01/2019,13B,W,F,21.0
70122,KC19096033,12/18/2019,23H,W,F,35.0
70123,KC19087885,11/16/2019,13A,,M,36.0
70124,KC19097547,12/25/2019,,U,M,56.0
70125,KC19090618,11/27/2019,250,U,M,40.0
70126,KC19090436,11/26/2019,220,,,
70127,KC19090613,11/27/2019,13A,W,M,29.0
70128,KC19087634,11/15/2019,23C,B,M,
70129,KC19096268,12/19/2019,26F,,,
70130,KC19087871,11/16/2019,23C,W,M,21.0
70131,KC19094605,12/13/2019,90J,W,M,46.0
70132,KC19088131,11/17/2019,13B,B,F,43.0
70133,KC19097662,12/25/2019,220,B,F,34.0
70134,KC19090722,11/27/2019,13B,,,
70135,KC19091546,12/01/2019,,B,M,21.0
70136,KC19091227,11/30/2019,,B,F,20.0
70137,KC19092921,12/06/2019,13B,B,F,32.0
70138,KC19088064,11/17/2019,23C,,,
70139,KC19096837,12/22/2019,13B,,,
70140,KC19090294,11/26/2019,90Z,W,M,51.0
70141,KC19094946,12/14/2019,13B,B,F,28.0
70142,KC19092169,12/04/2019,280,W,F,28.0
70143,KC19091866,12/03/2019,13A,B,M,44.0
70144,KC19089966,11/24/2019,90Z,W,M,39.0
70145,KC19098670,12/30/2019,23H,U,M,41.0
70146,KC19097779,12/26/2019,240,W,M,36.0
70147,KC19090528,11/27/2019,23H,W,M,59.0
70148,KC19098772,12/30/2019,35A,W,F,30.0
70149,KC19087892,11/16/2019,120,B,M,43.0
70150,KC19095199,12/15/2019,23H,W,M,47.0
70151,KC19091823,12/02/2019,,W,M,43.0
70152,KC19095725,12/17/2019,13A,B,M,59.0
70153,KC19090504,11/26/2019,,W,M,45.0
70154,KC19091859,12/03/2019,35B,,M,25.0
70155,KC19092505,12/05/2019,13A,B,F,51.0
70156,KC19089207,11/21/2019,,,,
70157,KC19093174,12/07/2019,,W,F,33.0
70158,KC19097761,12/26/2019,,B,M,43.0
70159,KC19087737,11/16/2019,,B,F,24.0
70160,KC19091637,12/02/2019,,W,M,64.0
70161,KC19088233,11/18/2019,290,W,F,27.0
70162,KC19095257,12/16/2019,290,B,M,21.0
70163,KC19087430,11/14/2019,220,U,M,33.0
70164,KC19091171,11/30/2019,13B,B,F,49.0
70165,KC19088987,11/20/2019,220,B,F,24.0
70166,KC19093794,12/10/2019,,B,M,27.0
70167,KC19089545,11/22/2019,280,B,F,25.0
70168,KC19098088,12/27/2019,11A,W,M,
70169,KC19095600,12/17/2019,23D,W,M,34.0
70170,KC19088764,11/20/2019,,B,M,25.0
70171,KC19087562,11/15/2019,,W,M,
70172,KC19097444,12/24/2019,26E,W,M,43.0
70173,KC19098229,12/28/2019,13B,B,M,21.0
70174,KC19089422,11/22/2019,,B,M,31.0
70175,KC19093950,12/10/2019,,B,M,32.0
70176,KC19093328,12/08/2019,13B,B,F,39.0
70177,KC19087595,11/15/2019,,B,M,61.0
70178,KC19092951,12/06/2019,13B,W,F,49.0
70179,KC19092528,12/05/2019,13A,B,F,
70180,KC19092216,12/04/2019,,W,M,86.0
70181,KC19096606,12/20/2019,,B,M,28.0
70182,KC19091170,11/29/2019,,B,F,34.0
70183,KC19090349,11/26/2019,23G,B,F,42.0
70184,KC19096435,12/20/2019,26F,B,F,61.0
70185,KC19088260,11/18/2019,220,,,
70186,KC19092847,12/06/2019,23F,,,
70187,KC19093654,12/09/2019,13A,B,M,
70188,KC19094171,12/11/2019,290,B,M,25.0
70189,KC19089530,11/22/2019,,B,F,41.0
70190,KC19090244,11/26/2019,13B,B,F,30.0
70191,KC19089785,11/24/2019,90D,W,M,22.0
70192,KC19090624,11/27/2019,,W,M,75.0
70193,KC19088165,11/18/2019,,B,F,23.0
70194,KC19098121,12/27/2019,,B,F,48.0
70195,KC19092227,12/04/2019,280,W,F,29.0
70196,KC19093015,12/07/2019,23G,B,M,41.0
70197,KC19098897,12/31/2019,370,W,F,
70198,KC19093961,12/10/2019,,B,M,27.0
70199,KC19095512,12/16/2019,13A,W,M,
70200,KC19091505,12/01/2019,,B,F,
70201,KC19092047,12/03/2019,,B,M,26.0
70202,KC19089894,11/24/2019,13C,B,F,20.0
70203,KC19093689,12/09/2019,220,W,F,63.0
70204,KC19091025,11/29/2019,23F,B,F,39.0
70205,KC19098871,12/31/2019,240,W,M,39.0
70206,KC19096587,12/20/2019,13B,B,F,18.0
70207,KC19090584,11/27/2019,90J,,,
70208,KC19089772,11/24/2019,90J,B,M,50.0
70209,KC19087442,11/14/2019,13B,W,M,24.0
70210,KC19094784,12/13/2019,13C,W,M,41.0
70211,KC19095066,12/15/2019,90Z,B,M,37.0
70212,KC19097950,12/27/2019,23F,U,U,
70213,KC19090893,11/28/2019,13C,W,F,32.0
70214,KC19098743,12/30/2019,13A,B,F,26.0
70215,KC19091051,11/29/2019,11C,W,F,35.0
70216,KC19091384,12/01/2019,13A,B,M,40.0
70217,KC19097430,12/24/2019,23H,B,M,
70218,KC19094896,12/14/2019,290,W,M,35.0
70219,KC19090706,11/27/2019,90F,B,M,22.0
70220,KC19091145,11/29/2019,35A,,,
70221,KC19088680,11/19/2019,13A,B,F,21.0
70222,KC19098140,12/27/2019,290,B,F,53.0
70223,KC19089403,11/22/2019,240,W,M,64.0
70224,KC19096206,12/19/2019,220,,,
70225,KC19091231,11/30/2019,,W,M,26.0
70226,KC19090834,11/28/2019,13B,W,M,24.0
70227,KC19091400,12/01/2019,220,W,M,24.0
70228,KC19093362,12/08/2019,13B,W,M,18.0
70229,KC19097672,12/26/2019,13A,W,M,59.0
70230,KC19090663,11/27/2019,90J,B,F,39.0
70231,KC19096861,12/22/2019,290,B,M,36.0
70232,KC19093268,12/08/2019,290,B,F,22.0
70233,KC19098867,12/31/2019,23F,B,M,57.0
70234,KC19094079,12/11/2019,90J,,,
70235,KC19094826,12/14/2019,13B,B,F,30.0
70236,KC19094031,12/11/2019,23H,,,
70237,KC19095566,12/17/2019,240,W,M,41.0
70238,KC19089268,11/21/2019,290,W,F,21.0
70239,KC19096886,12/22/2019,23F,W,M,32.0
70240,KC19096463,12/20/2019,,W,M,
70241,KC19088945,11/20/2019,13A,W,F,
70242,KC19096341,12/19/2019,,B,M,36.0
70243,KC19097171,12/23/2019,23H,U,F,21.0
70244,KC19090659,11/27/2019,90Z,W,M,54.0
70245,KC19090320,11/26/2019,11D,W,M,
70246,KC19087514,11/15/2019,,W,M,31.0
70247,KC19088819,11/20/2019,23F,W,M,55.0
70248,KC19091168,11/29/2019,,B,M,27.0
70249,KC19091315,11/30/2019,290,B,M,40.0
70250,KC19096983,12/22/2019,,B,F,25.0
70251,KC19094618,12/13/2019,,W,M,21.0
70252,KC19096391,12/20/2019,240,W,M,74.0
70253,KC19090686,11/27/2019,240,,,
70254,KC19088365,11/18/2019,23C,B,F,20.0
70255,KC19093189,12/07/2019,13B,B,F,56.0
70256,KC19098394,12/29/2019,13A,W,M,38.0
70257,KC19097078,12/23/2019,,W,F,39.0
70258,KC19090643,11/27/2019,,W,M,
70259,KC19087924,11/16/2019,,B,M,
70260,KC19090539,11/27/2019,,W,M,50.0
70261,KC19091323,11/30/2019,,B,F,62.0
70262,KC19089809,11/24/2019,13B,B,M,57.0
70263,KC19094831,12/14/2019,90J,W,M,28.0
70264,KC19091645,12/02/2019,23D,B,M,34.0
70265,KC19094777,12/13/2019,90Z,B,F,42.0
70266,KC19095225,12/15/2019,13B,B,F,27.0
70267,KC19094115,12/11/2019,220,B,M,29.0
70268,KC19097932,12/27/2019,,W,M,37.0
70269,KC19093751,12/05/2019,13B,B,F,
70270,KC19096827,12/21/2019,120,B,M,
70271,KC19096523,12/20/2019,13B,W,F,47.0
70272,KC19093248,12/08/2019,,W,M,60.0
70273,KC19090569,11/27/2019,280,,,
70274,KC19098382,12/29/2019,,U,U,
70275,KC19094434,12/12/2019,,W,M,36.0
70276,KC19098924,12/31/2019,23F,W,M,65.0
70277,KC19089837,11/24/2019,13A,B,F,18.0
70278,KC19089302,11/22/2019,90Z,,,
70279,KC19087690,11/15/2019,,W,F,
70280,KC19088286,11/18/2019,90Z,W,F,
70281,KC19095594,12/17/2019,23F,W,M,36.0
70282,KC19090126,11/25/2019,240,U,M,50.0
70283,KC19092835,12/06/2019,240,W,F,65.0
70284,KC19095942,12/18/2019,13B,U,M,
70285,KC19096646,12/21/2019,280,,U,
70286,KC19087995,11/17/2019,,W,M,27.0
70287,KC19087933,11/16/2019,13A,B,M,28.0
70288,KC19095704,12/17/2019,120,W,M,
70289,KC19093315,12/08/2019,120,B,M,
70290,KC19093129,12/07/2019,90C,W,M,31.0
70291,KC19094843,12/14/2019,23F,W,M,58.0
70292,KC19090234,11/25/2019,13A,W,M,51.0
70293,KC19088468,11/19/2019,13A,B,F,42.0
70294,KC19091339,11/30/2019,13B,B,M,23.0
70295,KC19087716,11/16/2019,13B,W,F,24.0
70296,KC19092742,12/06/2019,13B,W,F,20.0
70297,KC19098007,12/27/2019,23C,,,
70298,KC19092939,12/06/2019,,B,F,53.0
70299,KC19097258,12/23/2019,,W,F,38.0
70300,KC19098315,12/28/2019,,W,F,
70301,KC19089223,11/21/2019,240,W,F,53.0
70302,KC19093377,12/08/2019,13A,B,F,18.0
70303,KC19094345,12/12/2019,23H,W,M,50.0
70304,KC19090642,11/27/2019,13B,W,M,26.0
70305,KC19098601,12/30/2019,90Z,W,F,32.0
70306,KC19088975,11/20/2019,290,W,M,35.0
70307,KC19090980,11/29/2019,23D,B,F,36.0
70308,KC19096553,12/20/2019,90Z,W,F,25.0
70309,KC19096382,12/20/2019,200,,,
70310,KC19096619,12/21/2019,13A,W,M,21.0
70311,KC19094095,12/11/2019,,U,F,
70312,KC19097710,12/26/2019,90Z,W,M,47.0
70313,KC19093881,12/10/2019,,B,M,46.0
70314,KC19093417,12/09/2019,13B,B,M,43.0
70315,KC19093080,12/07/2019,240,W,M,46.0
70316,KC19098180,12/28/2019,,W,M,32.0
70317,KC19091487,12/01/2019,,B,M,47.0
70318,KC19087636,11/15/2019,,B,M,
70319,KC19096926,12/22/2019,,,,
70320,KC19096261,12/19/2019,290,B,F,41.0
70321,KC19096507,12/20/2019,250,B,F,25.0
70322,KC19092249,12/04/2019,240,,,
70323,KC19087834,11/16/2019,240,W,F,38.0
70324,KC19088759,11/20/2019,240,W,M,27.0
70325,KC19095692,12/17/2019,23H,W,M,18.0
70326,KC19089987,11/25/2019,23F,W,F,25.0
70327,KC19091538,12/01/2019,23H,W,M,27.0
70328,KC19087474,11/15/2019,200,,F,
70329,KC19096077,12/18/2019,280,W,F,
70330,KC19090040,11/25/2019,35A,W,M,30.0
70331,KC19095448,12/16/2019,270,,,
70332,KC19095057,12/15/2019,90J,W,M,46.0
70333,KC19092917,12/06/2019,13B,,,
70334,KC19091992,12/03/2019,,,M,26.0
70335,KC19097219,12/23/2019,290,B,M,45.0
70336,KC19095077,12/15/2019,240,B,M,26.0
70337,KC19098172,12/28/2019,,B,M,50.0
70338,KC19089295,11/21/2019,13A,B,F,24.0
70339,KC19096894,12/22/2019,280,B,M,22.0
70340,KC19093634,12/09/2019,26A,B,M,
70341,KC19095649,12/17/2019,13A,B,F,21.0
70342,KC19096415,12/20/2019,290,W,M,
70343,KC19091409,12/01/2019,,B,F,29.0
70344,KC19088060,11/17/2019,,W,M,49.0
70345,KC19091969,12/03/2019,290,B,M,
70346,KC19095957,12/18/2019,23C,,,
70347,KC19095725,12/17/2019,13A,W,F,47.0
70348,KC19089800,11/24/2019,23D,B,M,
70349,KC19094724,12/13/2019,13C,B,F,18.0
70350,KC19096778,12/21/2019,90Z,W,M,47.0
70351,KC19089851,11/24/2019,90J,W,M,24.0
70352,KC19098501,12/29/2019,13A,B,M,67.0
70353,KC19090764,11/27/2019,,W,M,34.0
70354,KC19098486,12/29/2019,290,W,M,24.0
70355,KC19097361,12/24/2019,120,B,M,37.0
70356,KC19092115,12/03/2019,,W,M,34.0
70357,KC19089340,11/22/2019,,W,M,32.0
70358,KC19090459,11/26/2019,,W,M,33.0
70359,KC19094580,12/13/2019,280,,,
70360,KC19096362,12/19/2019,,W,M,26.0
70361,KC19094341,12/12/2019,23G,W,M,48.0
70362,KC19089935,11/24/2019,,W,M,24.0
70363,KC19096221,12/19/2019,220,,M,
70364,KC19095802,12/17/2019,13B,B,M,19.0
70365,KC19090577,11/27/2019,23F,B,M,68.0
70366,KC19096093,12/18/2019,13A,W,M,62.0
70367,KC19088313,11/18/2019,250,,,
70368,KC19096643,12/21/2019,,W,M,24.0
70369,KC19093872,12/10/2019,,W,F,40.0
70370,KC19088287,11/18/2019,240,B,M,44.0
70371,KC19090035,11/25/2019,240,W,F,
70372,KC19088944,11/20/2019,23H,B,F,27.0
70373,KC19095334,12/16/2019,240,W,M,60.0
70374,KC19089719,11/23/2019,290,B,F,18.0
70375,KC19097371,12/24/2019,290,B,M,61.0
70376,KC19090210,11/25/2019,13B,B,M,23.0
70377,KC19093494,12/09/2019,,W,M,36.0
70378,KC19091503,12/01/2019,,B,F,88.0
70379,KC19087898,11/16/2019,,U,M,51.0
70380,KC19094965,12/14/2019,23G,B,F,30.0
70381,KC19090691,11/27/2019,23D,B,F,29.0
70382,KC19090204,11/25/2019,23H,B,F,
70383,KC19093892,12/10/2019,220,U,F,30.0
70384,KC19094834,12/14/2019,13A,W,M,50.0
70385,KC19092416,12/04/2019,23H,B,F,31.0
70386,KC19094949,12/14/2019,35A,B,M,19.0
70387,KC19090670,11/27/2019,90J,W,M,29.0
70388,KC19092144,12/04/2019,,W,F,30.0
70389,KC19098826,12/31/2019,,B,F,22.0
70390,KC19092370,12/04/2019,23H,U,M,
70391,KC19090509,11/26/2019,,B,M,19.0
70392,KC19090864,11/28/2019,13A,B,M,20.0
70393,KC19090433,11/26/2019,13B,B,M,50.0
70394,KC19091111,11/29/2019,90F,B,F,23.0
70395,KC19097287,12/23/2019,90D,B,M,54.0
70396,KC19092623,12/05/2019,90J,W,M,18.0
70397,KC19090710,11/27/2019,90Z,W,M,29.0
70398,KC19090927,11/28/2019,,W,F,18.0
70399,KC19093119,12/07/2019,23C,B,F,
70400,KC19096992,12/22/2019,,W,M,47.0
70401,KC19087518,11/15/2019,13C,W,M,32.0
70402,KC19094007,12/11/2019,13C,W,F,27.0
70403,KC19098061,12/27/2019,,W,M,
70404,KC19090942,11/29/2019,290,W,M,32.0
70405,KC19087794,11/16/2019,26F,W,M,44.0
70406,KC19088627,11/19/2019,23H,B,M,
70407,KC19090234,11/25/2019,13A,W,M,41.0
70408,KC19096452,12/20/2019,26A,B,F,34.0
70409,KC19094873,12/14/2019,23C,B,M,
70410,KC19091752,12/02/2019,,B,M,20.0
70411,KC19097795,12/26/2019,13B,W,F,24.0
70412,KC19089321,11/22/2019,90Z,B,M,32.0
70413,KC19092442,12/05/2019,520,B,F,38.0
70414,KC19092913,12/06/2019,90Z,W,M,35.0
70415,KC19089271,11/21/2019,23C,,,
70416,KC19095013,12/14/2019,,W,M,28.0
